BLOCO,REGIÃO GEOGRÁFICA,PAÍS,RESERVA PETRÓLEO,ANO,PAIS_INGLES,ISO3
NÃO OPEP,América do Norte,Canadá,172.2,2014,Canada,CAN
NÃO OPEP,América do Norte,Canadá,171.512,2015,Canada,CAN
NÃO OPEP,América do Norte,Canadá,197.928,2016,Canada,CAN
NÃO OPEP,América do Norte,Canadá,197.928,2017,Canada,CAN
NÃO OPEP,América do Norte,Canadá,192.472,2018,Canada,CAN
NÃO OPEP,América do Norte,Canadá,194.085,2019,Canada,CAN
NÃO OPEP,América do Norte,Canadá,193.844,2020,Canada,CAN
NÃO OPEP,América do Norte,Canadá,193.946,2021,Canada,CAN
NÃO OPEP,América do Norte,Canadá,193.946,2022,Canada,CAN
NÃO OPEP,América do Norte,Canadá,193.12,2023,Canada,CAN
NÃO OPEP,América do Norte,Estados Unidos,39.9,2014,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,35.23,2015,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,35.213,2016,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,35.41,2017,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,47.053,2018,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,47.107,2019,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,38.212,2020,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,44.418,2021,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,59.637,2022,United States,USA
NÃO OPEP,América do Norte,Estados Unidos,62.877,2023,United States,USA
NÃO OPEP,América do Norte,México,9.8,2014,Mexico,MEX
NÃO OPEP,América do Norte,México,9.711,2015,Mexico,MEX
NÃO OPEP,América do Norte,México,7.219,2016,Mexico,MEX
NÃO OPEP,América do Norte,México,7.219,2017,Mexico,MEX
NÃO OPEP,América do Norte,México,7.695,2018,Mexico,MEX
NÃO OPEP,América do Norte,México,7.01,2019,Mexico,MEX
NÃO OPEP,América do Norte,México,7.042,2020,Mexico,MEX
NÃO OPEP,América do Norte,México,7.319,2021,Mexico,MEX
NÃO OPEP,América do Norte,México,7.328,2022,Mexico,MEX
NÃO OPEP,América do Norte,México,7.48,2023,Mexico,MEX
NÃO OPEP,Américas Central e do Sul,Argentina,2.4,2014,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.395,2015,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.395,2016,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.395,2017,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.0,2018,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.0,2019,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.497,2020,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.467,2021,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.467,2022,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Argentina,2.542,2023,Argentina,ARG
NÃO OPEP,Américas Central e do Sul,Brasil,16.2,2014,Brazil,BRA
NÃO OPEP,Américas Central e do Sul,Brasil,13.013,2015,Brazil,BRA
NÃO OPEP,Américas Central e do Sul,Brasil,12.606,2016,Brazil,BRA
NÃO OPEP,Américas Central e do Sul,Brasil,12.793,2017,Brazil,BRA
NÃO OPEP,Américas Central e do Sul,Brasil,13.241,2018,Brazil,BRA
NÃO OPEP,Américas Central e do Sul,Brasil,12.728,2019,Brazil,BRA
NÃO OPEP,Américas Central e do Sul,Brasil,11.932,2020,Brazil,BRA
NÃO OPEP,Américas Central e do Sul,Brasil,13.329,2021,Brazil,BRA
